학교ID,학교명,위도,경도,소재지도로명주소,학교급구분,설립형태,데이터기준일자,source_url,id_method,current_students,capacity,coordinate_status,coordinate_source,gu
B000012281,인천세원고등학교,37.55161396,126.7447093,인천광역시 계양구 장제로 966,고등학교,공립,2026-03-20,https://www.data.go.kr/data/15021148/standard.do,official_school_id,,,available,official_disclosure,계양구
B000012282,작전여자고등학교,37.53213347,126.7295556,인천광역시 계양구 주부토로426번길 15,고등학교,공립,2026-03-20,https://www.data.go.kr/data/15021148/standard.do,official_school_id,,,available,official_disclosure,계양구
B000012283,인천효성고등학교,37.53146736,126.7149972,인천광역시 계양구 새벌로171번길 21,고등학교,공립,2026-03-20,https://www.data.go.kr/data/15021148/standard.do,official_school_id,,,available,official_disclosure,계양구
B000012284,서운고등학교,37.52691454,126.7457474,인천광역시 계양구 아나지로 481,고등학교,공립,2026-03-20,https://www.data.go.kr/data/15021148/standard.do,official_school_id,,,available,official_disclosure,계양구
B000012285,안남고등학교,37.52503666,126.7271275,인천광역시 계양구 아나지로308번길 9,고등학교,공립,2026-03-20,https://www.data.go.kr/data/15021148/standard.do,official_school_id,,,available,official_disclosure,계양구
B000012286,인천청라고등학교,37.53720827,126.6607696,인천광역시 서구 담지로86번길 16-14,고등학교,공립,2026-03-20,https://www.data.go.kr/data/15021148/standard.do,official_school_id,,,available,official_disclosure,서구
B000012287,인천초은고등학교,37.52929109,126.6571142,인천광역시 서구 청라에메랄드로 42,고등학교,공립,2026-03-20,https://www.data.go.kr/data/15021148/standard.do,official_school_id,,,available,official_disclosure,서구
B000012288,백석고등학교,37.58060358,126.6742921,인천광역시 서구 서곶로 701,고등학교,공립,2026-03-20,https://www.data.go.kr/data/15021148/standard.do,official_school_id,,,available,official_disclosure,서구
B000012289,가정고등학교,37.51351681,126.6797187,인천광역시 서구 서달로 162,고등학교,공립,2026-03-20,https://www.data.go.kr/data/15021148/standard.do,official_school_id,,,available,official_disclosure,서구
B000012290,가림고등학교,37.49261929,126.6812015,인천광역시 서구 원적로 58,고등학교,공립,2026-03-20,https://www.data.go.kr/data/15021148/standard.do,official_school_id,,,available,official_disclosure,서구
