학교ID,학교명,year,students,special_class_students,source_url,reference_period
KLOCAL-e47e237956c9037b,송도국제유치원,2016,452,0,https://e-childschoolinfo.moe.go.kr/,2016년 1차 공시
KLOCAL-4d24c45e629f00af,수피아유치원,2016,143,0,https://e-childschoolinfo.moe.go.kr/,2016년 1차 공시
KLOCAL-21a7223db4562e0a,순복음유치원,2016,152,0,https://e-childschoolinfo.moe.go.kr/,2016년 1차 공시
KLOCAL-fd832db87ee2afb4,숲속의유치원,2016,147,0,https://e-childschoolinfo.moe.go.kr/,2016년 1차 공시
KLOCAL-f591f4da9fb6832b,신도유치원,2016,86,0,https://e-childschoolinfo.moe.go.kr/,2016년 1차 공시
KLOCAL-369a4964372d4b20,신명유치원,2016,49,0,https://e-childschoolinfo.moe.go.kr/,2016년 1차 공시
KLOCAL-c8f2705298b07183,아름솔유치원,2016,150,0,https://e-childschoolinfo.moe.go.kr/,2016년 1차 공시
KLOCAL-ff3c969cd7af6837,아삽유치원,2016,64,0,https://e-childschoolinfo.moe.go.kr/,2016년 1차 공시
KLOCAL-1375cec9fea0c803,아이웰유치원,2016,62,0,https://e-childschoolinfo.moe.go.kr/,2016년 1차 공시
KLOCAL-2c8aa292f224503d,아이큰별유치원,2016,95,0,https://e-childschoolinfo.moe.go.kr/,2016년 1차 공시
KLOCAL-34fbb34c9c9f34c7,에듀피아유치원,2016,193,0,https://e-childschoolinfo.moe.go.kr/,2016년 1차 공시
KLOCAL-e436b88a780add2c,에이스화인유치원,2016,363,0,https://e-childschoolinfo.moe.go.kr/,2016년 1차 공시
KLOCAL-3ab60969c7103ea6,엔젤유치원,2016,36,0,https://e-childschoolinfo.moe.go.kr/,2016년 1차 공시
KLOCAL-f9f166dfa9308d05,엘림유치원,2016,167,0,https://e-childschoolinfo.moe.go.kr/,2016년 1차 공시
KLOCAL-778bc903de10783e,연수유치원,2016,124,0,https://e-childschoolinfo.moe.go.kr/,2016년 1차 공시
KLOCAL-e939c200a4db1777,영보유치원,2016,189,0,https://e-childschoolinfo.moe.go.kr/,2016년 1차 공시
KLOCAL-117cde7db840a10e,예다원유치원,2016,271,0,https://e-childschoolinfo.moe.go.kr/,2016년 1차 공시
KLOCAL-a6c49aeb58916263,예지유치원,2016,119,0,https://e-childschoolinfo.moe.go.kr/,2016년 1차 공시
KLOCAL-d9ad116e2003fd1e,예진유치원,2016,96,0,https://e-childschoolinfo.moe.go.kr/,2016년 1차 공시
KLOCAL-a73becd81df8c04e,온누리비전유치원,2016,98,0,https://e-childschoolinfo.moe.go.kr/,2016년 1차 공시
KLOCAL-2b73eb96ef811bfa,유석화유치원,2016,181,0,https://e-childschoolinfo.moe.go.kr/,2016년 1차 공시
KLOCAL-a23bf1cd467fa082,이삭예능유치원,2016,120,0,https://e-childschoolinfo.moe.go.kr/,2016년 1차 공시
KLOCAL-6cc247e473a0dd94,인보유치원,2016,73,0,https://e-childschoolinfo.moe.go.kr/,2016년 1차 공시
KLOCAL-28e854d271c0e8e1,인천간석초등학교병설유치원,2016,16,5,https://e-childschoolinfo.moe.go.kr/,2016년 1차 공시
KLOCAL-bb78c900eca43f09,인천고잔유치원,2016,136,10,https://e-childschoolinfo.moe.go.kr/,2016년 1차 공시
KLOCAL-34f51f462724b79d,인천고잔초등학교병설유치원,2016,81,0,https://e-childschoolinfo.moe.go.kr/,2016년 1차 공시
KLOCAL-90f24a9a996ac511,인천구월서초등학교병설유치원,2016,24,0,https://e-childschoolinfo.moe.go.kr/,2016년 1차 공시
KLOCAL-c3820bd9125fc45b,인천구월유치원,2016,216,15,https://e-childschoolinfo.moe.go.kr/,2016년 1차 공시
KLOCAL-f7865938c34c572d,인천남촌초등학교병설유치원,2016,24,0,https://e-childschoolinfo.moe.go.kr/,2016년 1차 공시
KLOCAL-fc233c4e719c1c84,인천논곡초등학교병설유치원,2016,28,5,https://e-childschoolinfo.moe.go.kr/,2016년 1차 공시
KLOCAL-394d164ed7bec392,인천도림초등학교병설유치원,2016,54,0,https://e-childschoolinfo.moe.go.kr/,2016년 1차 공시
KLOCAL-c450a0dccff7fa8a,인천동방초등학교병설유치원,2016,72,0,https://e-childschoolinfo.moe.go.kr/,2016년 1차 공시
KLOCAL-d0880bc91ea3a11c,인천동부초등학교병설유치원,2016,22,0,https://e-childschoolinfo.moe.go.kr/,2016년 1차 공시
KLOCAL-32d3ae6b63e1b618,인천동춘초등학교병설유치원,2016,54,0,https://e-childschoolinfo.moe.go.kr/,2016년 1차 공시
KLOCAL-ef25cce87a4a5a4a,인천만월초등학교병설유치원,2016,72,0,https://e-childschoolinfo.moe.go.kr/,2016년 1차 공시
KLOCAL-7cd8621a409ee80e,인천먼우금초등학교병설유치원,2016,80,0,https://e-childschoolinfo.moe.go.kr/,2016년 1차 공시
KLOCAL-9e1ecde17b4153f9,인천명선초등학교병설유치원,2016,82,0,https://e-childschoolinfo.moe.go.kr/,2016년 1차 공시
KLOCAL-b77a1bafb9d14dde,인천사리울초등학교병설유치원,2016,64,0,https://e-childschoolinfo.moe.go.kr/,2016년 1차 공시
KLOCAL-fda225ae2869cf69,인천상아초등학교병설유치원,2016,82,0,https://e-childschoolinfo.moe.go.kr/,2016년 1차 공시
KLOCAL-a13112ed33df123c,인천서창초등학교병설유치원,2016,54,0,https://e-childschoolinfo.moe.go.kr/,2016년 1차 공시
KLOCAL-7b02766e15ef5760,인천성리초등학교병설유치원,2016,28,0,https://e-childschoolinfo.moe.go.kr/,2016년 1차 공시
